"Age" "Region" "Revenu" "Loisirs" "Pates" "Cafe" "Enfants" "Magnetoscope" "Lavevaisselle"
"TA1" "GR1"  17655 2138 61 "AC" 5 1 1
"TA1" "GR1"  26572 2278 42 "BC" 4 1 1
"TA1" "GR1"  33227 3547 32 "BC" 1 1 0
"TA1" "GR1"  77655 5147 23 "MC" 0 1 1
"TA1" "GR1"  24469 2480 27 "MC" 1 0 0
"TA1" "GR1"  33421 2978 21 "BC" 2 1 1
"TA1" "GR1"  18604 2356 32 "MC" 1 1 0
"TA1" "GR1"  89000 3752 27 "BC" 0 1 1
"TA1" "GR1"   6092 2060 43 "BC" 3 1 0
"TA1" "GR1"  10794 1933 27 "AC" 1 1 1
"TA1" "GR1"  16052 2335 48 "MC" 2 1 0
"TA1" "GR1"  19812 2502 12 "MC" 3 1 0
"TA1" "GR1"  52836 4611 31 "MC" 1 1 1
"TA1" "GR1"  87020 5848 28 "BC" 1 1 1
"TA1" "GR1"  29022 2690 27 "BC" 2 1 1
"TA1" "GR1"  17833 2333 27 "BC" 1 1 1
"TA1" "GR1"  12185 2288 26 "AC" 0 0 0
"TA1" "GR1"  46158 2873 26 "AC" 3 1 1
"TA1" "GR1"  28430 3067 35 "MC" 1 1 0
"TA1" "GR1"   7104 1846 20 "BC" 1 1 0
"TA1" "GR1"  20439 2680 25 "MC" 3 1 1
"TA1" "GR1"  15211 2135 29 "BC" 1 1 1
"TA1" "GR1"  12625 1944 22 "MC" 1 1 0
"TA1" "GR1"  22004 2191 27 "AC" 2 1 0
"TA1" "GR1"  20905 2290 20 "MC" 1 1 0
"TA1" "GR1"  26050 2084 34 "BC" 2 0 1
"TA1" "GR1"  14222 2185 37 "AC" 9 1 1
"TA1" "GR1"  20302 2760 22 "AC" 0 1 0
"TA1" "GR1"  46706 4540 29 "BC" 2 1 1
"TA1" "GR1"  77176 5300 22 "BC" 2 1 1
"TA1" "GR1"  27406 2986 26 "AC" 0 1 0
"TA1" "GR1"   6445 1823 21 "AC" 3 1 1
"TA1" "GR1"  37378 3256 22 "BC" 1 0 1
"TA1" "GR1"  17724 2528 27 "MC" 0 1 0
"TA1" "GR1"  25306 2651 33 "MC" 2 1 1
"TA1" "GR1"  33961 3690 33 "AC" 2 0 1
"TA1" "GR1"  32135 2826 31 "BC" 1 1 0
"TA1" "GR1"  61567 3646 39 "AC" 2 1 1
"TA1" "GR1"  23609 3047 28 "BC" 1 1 0
"TA1" "GR1"  35050 2831 26 "BC" 1 1 0
"TA1" "GR1"  14880 2087 29 "BC" 1 1 0
"TA1" "GR1"  19353 2436 26 "AC" 1 1 1
"TA1" "GR1"  35420 3088 35 "MC" 4 1 1
"TA1" "GR1"  20654 2481 29 "BC" 2 1 0
"TA1" "GR1"  50067 4049 19 "AC" 0 0 0
"TA1" "GR1"  25457 2524 21 "BC" 0 1 0
"TA1" "GR1"  15548 2320 29 "BC" 1 1 0
"TA1" "GR1"  25149 2723 29 "BC" 1 1 0
"TA1" "GR1" 100764 5608 37 "BC" 3 1 1
"TA1" "GR1"  30601 3540 24 "MC" 1 0 0
"TA1" "GR2"  22661 2384 22 "MC" 0 1 1
"TA1" "GR2"  38158 2775 23 "MC" 2 1 1
"TA1" "GR2"   7809 1773 22 "AC" 0 0 1
"TA1" "GR2"  18151 2526 30 "AC" 2 1 0
"TA1" "GR2"  33920 2777 21 "BC" 2 0 1
"TA1" "GR2"  43656 3755 35 "BC" 2 1 1
"TA1" "GR2"   7096 1618 35 "MC" 1 0 0
"TA1" "GR2"  23097 2295 35 "MC" 2 1 0
"TA1" "GR2"  20063 2244 26 "BC" 2 1 1
"TA1" "GR2"  32184 2859 39 "AC" 3 1 1
"TA1" "GR2"  24590 2481 30 "AC" 1 0 0
"TA1" "GR2"  25432 2482 23 "AC" 0 1 0
"TA1" "GR2"  20121 2350 24 "MC" 0 1 0
"TA1" "GR2"  12959 1999 35 "BC" 1 1 0
"TA1" "GR2"  34390 2486 23 "BC" 0 0 0
"TA1" "GR2"  12473 2029 39 "MC" 3 0 1
"TA1" "GR2"  15816 1846 53 "MC" 5 1 1
"TA1" "GR2"  22252 2808 24 "BC" 1 0 0
"TA1" "GR2"  16124 1920 29 "AC" 1 1 0
"TA1" "GR2"  26036 2270 27 "BC" 4 0 1
"TA1" "GR2"  10207 1827 33 "BC" 2 0 0
"TA1" "GR2"  12774 1911 29 "MC" 0 1 0
"TA1" "GR2"  13830 1822 34 "AC" 5 1 1
"TA1" "GR2"   7603 1585 26 "AC" 1 0 0
"TA1" "GR2"  17110 2112 17 "MC" 2 0 0
"TA1" "GR2"  14031 1891 30 "MC" 2 1 0
"TA1" "GR2"  15766 1915 41 "BC" 3 0 1
"TA1" "GR2"  13521 1991 32 "BC" 2 1 0
"TA1" "GR2"  15763 1926 33 "MC" 1 1 0
"TA1" "GR2"   8253 1634 37 "BC" 2 1 1
"TA1" "GR2"   6915 1564 32 "BC" 1 0 0
"TA1" "GR2"  25963 2143 29 "AC" 2 1 0
"TA1" "GR2"  22230 2030 22 "AC" 1 0 1
"TA1" "GR2"  35231 3218 27 "AC" 1 0 1
"TA1" "GR2"  35380 2265 33 "MC" 2 1 1
"TA1" "GR2"   6798 1691 28 "MC" 3 0 1
"TA1" "GR2"  22683 2054 23 "MC" 1 1 1
"TA1" "GR2"  15590 2119 28 "BC" 0 0 0
"TA1" "GR2"  74506 4580 21 "MC" 1 0 1
"TA1" "GR2"  21073 2081 28 "MC" 0 0 0
"TA1" "GR2"  25617 2311 37 "MC" 2 0 0
"TA1" "GR2"  11894 1929 38 "MC" 2 0 0
"TA1" "GR2"  41884 2692 30 "BC" 1 0 1
"TA1" "GR2"  10399 1685 24 "MC" 3 0 1
"TA1" "GR2"  66641 4970 29 "MC" 1 1 1
"TA1" "GR2"  36769 2220 30 "MC" 3 1 0
"TA1" "GR2"  35134 3033 23 "AC" 1 0 1
"TA1" "GR2"   7582 1629 25 "MC" 0 0 0
"TA1" "GR2"  17155 2119 28 "BC" 2 1 0
"TA1" "GR2"  15116 1850 24 "MC" 1 1 0
"TA1" "GR3"  26245 2050 21 "AC" 0 1 1
"TA1" "GR3"  15450 1968 28 "AC" 3 0 1
"TA1" "GR3"  16383 2207 26 "AC" 1 0 0
"TA1" "GR3"   7041 1809 24 "MC" 1 1 0
"TA1" "GR3"  23052 2396 18 "AC" 1 1 0
"TA1" "GR3"  14160 2093 29 "AC" 1 1 0
"TA1" "GR3"  20896 2072 35 "MC" 1 0 1
"TA1" "GR3"  35750 2139 23 "BC" 1 0 0
"TA1" "GR3"   6708 1928 25 "BC" 0 1 0
"TA1" "GR3"  11896 2006 28 "MC" 0 0 0
"TA1" "GR3"  29254 2760 28 "BC" 1 1 1
"TA1" "GR3"  16223 2165 26 "MC" 6 1 1
"TA1" "GR3"  32505 2538 22 "AC" 0 1 1
"TA1" "GR3"  39779 3344 25 "MC" 1 1 0
"TA1" "GR3"  22448 2525 29 "MC" 1 0 0
"TA1" "GR3"  24351 2312 26 "BC" 0 1 0
"TA1" "GR3"  36011 2786 22 "BC" 1 1 1
"TA1" "GR3"   7528 1779 23 "BC" 1 0 0
"TA1" "GR3"  25454 2267 32 "BC" 1 1 0
"TA1" "GR3"  23088 2374 26 "AC" 0 1 0
"TA1" "GR3"  12061 1900 32 "MC" 2 0 1
"TA1" "GR3"  14238 2091 25 "BC" 0 0 0
"TA1" "GR3"  13422 2002 22 "BC" 0 1 1
"TA1" "GR3"  30042 3142 20 "AC" 0 1 1
"TA1" "GR3"  22038 2342 22 "AC" 0 1 0
"TA1" "GR3"  20010 1990 23 "AC" 2 1 0
"TA1" "GR3" 113879 6395 19 "AC" 3 1 1
